Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. All serving sizes are 100 grams.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
167788,Nance Canned Syrup Drained,Fruits,95,1.28,0.56,22.79,15.66,7,NULL,NULL,42,0.37,194,16,NULL,NULL,10.8,NULL,NULL,NULL,NULL,15.79,74.85,NULL,NULL,-4.527,0,NULL,NULL,0.07,7.41,8.18,0,0,0,NULL,NULL,7,8,0.06,0.053,0.172,NULL,NULL,NULL,NULL,0.015,0.02,0.3,NULL,0.015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.1,3 fruit without pits,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,210.526
167789,Nance Frozen Unsweetened,Fruits,73,1.16,0.66,16.97,8.31,7.5,NULL,NULL,46,0.38,244,20,74,4,92.5,NULL,NULL,1.25,NULL,9.47,80.64,NULL,NULL,-5.579,0,NULL,NULL,0,3.58,4.73,0,0,0,NULL,NULL,10,3,0.09,0.041,0.248,0.4,NULL,NULL,NULL,0.015,0.018,0.29,0.18,0.021,NULL,8,0,8,8,NULL,NULL,NULL,40,3,0,569,NULL,NULL,NULL,11.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112,"1 cup without pits, thawed",9.8,"3 fruit without pits, thawed",NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,273.973
167790,Naranjilla (Lulo) Pulp Frozen Unsweetened,Fruits,25,0.22,0.44,5.9,3.74,1.1,NULL,NULL,8,0.35,200,11,568,28,3.2,NULL,NULL,0.75,NULL,4.8,93.05,NULL,NULL,-3.954,0,NULL,NULL,1.72,0.99,1.04,0,0,0,NULL,NULL,12,4,0.1,0.028,0.067,0.4,NULL,NULL,NULL,0.045,0,1.45,0.22,0.107,NULL,3,0,3,3,NULL,NULL,NULL,333,4,0,299,NULL,NULL,NULL,14.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120,1 cup thawed,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,800
167791,Horned Melon (Kiwano),Fruits,44,1.26,1.78,7.56,NULL,NULL,NULL,NULL,13,1.13,123,40,147,7,5.3,NULL,NULL,NULL,NULL,7.56,88.97,NULL,NULL,-1.575,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,2,0.48,0.02,0.039,NULL,NULL,NULL,NULL,0.025,0.015,0.565,0.183,0.063,NULL,3,0,3,3,NULL,NULL,NULL,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,233,1 cup,209,1 fruit (4-2/3 inch long x 2-3/4 inch dia),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,454.545
167792,Orange Pineapple Juice Blend,Fruits,51,0.08,0.41,12.2,10.57,0.2,0,0.011,8,0.18,150,10,17,1,40.7,0,0,0.07,NULL,12,87.24,5,19,-2.924,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,4,0.06,0.034,0.378,0.1,NULL,NULL,NULL,0.04,0.025,0.173,NULL,0.061,NULL,10,0,10,10,3.8,NULL,0,5,3,0,14,NULL,NULL,0,0.1,NULL,NULL,9,24,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,246,8 fl oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,392.157
167793,Fuji Apples,Fruits,63,0.18,0.2,15.22,11.68,2.1,NULL,NULL,7,0.1,109,5,38,2,NULL,NULL,NULL,0.18,NULL,13.12,84.16,NULL,NULL,-1.943,0,NULL,NULL,2.21,3,6.47,0,0,0,0.05,NULL,13,1,0.04,0.025,0.031,0,NULL,NULL,NULL,0.013,0.026,0.07,0.051,0.045,NULL,3,NULL,3,NULL,3.4,NULL,NULL,17,0,0,11,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109,"1 cup, sliced",236,1 large,192,1 medium,158,1 small,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,317.46
167794,Orange Juice Chilled Includes From Concentrate With Added Calcium And Vitamins A D E,Fruits,49,0.12,0.68,11.54,8.31,0.3,0,0.014,146,0.13,178,11,417,114,33.6,0,1,1.13,NULL,11.24,87.22,7,23,-4.981,0,NULL,NULL,4.01,2.08,2.23,0,0,0,NULL,NULL,17,2,0.07,0.042,0.023,0.1,NULL,NULL,NULL,0.046,0.039,0.28,0.195,0.076,NULL,19,0,19,19,6.2,0.2,112,8,8,0,27,NULL,NULL,42,0,0,NULL,22,30,NULL,0,0,0,2,9,4,15,20,2,2,11,4,13,80,3,18,106,41,12,79,22,NULL,0,0,0,249,1 cup,31.1,1 fl oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,408.163
167795,Fruit Juice Smoothie Naked Juice Mighty Mango,Fruits,63,0,0.42,15,12.5,0,0,0,8,0.15,142,NULL,2083,NULL,2.5,NULL,NULL,NULL,NULL,15,83.46,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,240,8 fl oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,499,16 oz bottle,317.46
167796,Fruit Juice Smoothie Naked Juice Green Machine,Fruits,53,0.26,0.6,12.53,11.15,0.7,0,0.053,11,0.42,165,10,428,21,8.2,0.63,0,0.3,NULL,11.83,86.25,26,47,-3.039,0,NULL,NULL,2.85,2.75,5.55,0,0,0,NULL,NULL,15,6,0.06,0.053,0.215,0.4,NULL,NULL,NULL,0.07,0.09,0.29,NULL,0.075,NULL,15,0,15,15,4.3,NULL,0,247,5,0,183,NULL,NULL,0,21.2,NULL,NULL,40,73,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,275,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,377.358
167797,Fruit Juice Smoothie Bolthouse Farms Berry Boost,Fruits,46,0.02,0.63,10.9,9.3,0,0,0.003,10,0.21,116,NULL,290,NULL,108.6,0.9,NULL,5.03,NULL,10.9,88,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,252,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,434.783
167798,Fruit Juice Smoothie Bolthouse Farms Green Goodness,Fruits,56,0.33,0.63,13.04,11.46,0.6,0,0.068,18,0.34,177,15,417,21,6.2,0.55,0,0.18,NULL,12.44,85.61,19,15,-3.463,0.003,NULL,NULL,4.06,3.18,4.22,0,0,0,NULL,NULL,16,11,0.08,0.049,1.357,0.2,NULL,NULL,NULL,0.06,0.08,0.333,NULL,0.08,NULL,17,0,17,17,4.5,0.3,0,242,12,0,16,NULL,NULL,0,8.1,0,0,34,34,19,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,230,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,357.143
167799,Fruit Juice Smoothie Bolthouse Farms Strawberry Banana,Fruits,52,0.3,0.44,12.37,10.33,0.6,0,0.055,11,0.32,184,13,20,1,47.3,0,0,0.16,NULL,11.77,86.6,10,14,-3.56,0.001,NULL,NULL,2.44,3.32,4.58,0,0,0,NULL,NULL,16,5,0.07,0.038,0.194,0.4,NULL,NULL,NULL,0.035,0.053,0.287,0.092,0.075,NULL,24,0,24,24,5.3,NULL,0,9,4,0,25,NULL,NULL,NULL,0.9,0,0,20,48,10,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,233,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,384.615
167800,Apple Juice Canned Or Bottled Unsweetened With Added Ascorbic Acid Calcium And Potassium,Fruits,48,0.17,0.12,11.49,9.47,0.3,0,0.029,70,0.13,184,5,1,0,30.3,0,0,0.01,NULL,11.19,87.92,9,43,-4.532,0,NULL,NULL,1.2,2.57,5.7,0,0,0,NULL,NULL,9,5,0.04,0.01,0.035,0.1,NULL,NULL,NULL,0.004,0.015,0.067,0.049,0.018,NULL,0,0,0,0,1.8,0.1,0,0,0,0,16,NULL,NULL,0,0,NULL,NULL,8,51,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,177,6 fl oz,295,10 fl oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,416.667
167801,Lemon Juice From Concentrate Bottled Concord,Fruits,24,0.07,0.4,5.37,1.42,NULL,NULL,NULL,8,0.06,112,6,NULL,NULL,0,NULL,NULL,NULL,NULL,5.37,93.96,NULL,NULL,-2.096,NULL,NULL,NULL,0,0.76,0.66,0,0,0,NULL,NULL,9,29,0.09,0.02,0.017,NULL,NULL,NULL,NULL,0.02,0.017,0.197,0.06,0.037,NULL,4,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,1 tbsp,5.2,1 tsp,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,833.333
167802,Lemon Juice From Concentrate Bottled Real Lemon,Fruits,17,0.07,0.47,5.66,1.59,0.7,NULL,0.027,9,0.06,109,6,33,2,16.6,NULL,NULL,0.23,NULL,4.96,93.57,6,11,-2.011,0,NULL,NULL,0,0.88,0.71,0,0,0,NULL,NULL,9,26,0.23,0.018,0.016,NULL,NULL,NULL,NULL,0.02,0.017,0.18,0.09,0.037,NULL,11,NULL,11,NULL,NULL,NULL,NULL,0,0,0,11,NULL,NULL,NULL,0.1,0,0,6,17,6,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,1 tbsp,5,1 tsp,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,1176.471
167803,Cranberry Sauce Whole Canned Ocean Spray,Fruits,158,0.05,0.75,40.4,31.3,1.2,0,0.007,3,0.2,21,2,33,2,1,NULL,NULL,NULL,NULL,39.2,58.7,NULL,NULL,-0.019,0,NULL,NULL,0.1,17.1,9.7,0,4.4,0,NULL,NULL,4,5,0.02,0.017,0.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,1/4 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,126.582
167804,Cranberry Sauce Jellied Canned Ocean Spray,Fruits,160,0.04,1.05,40.61,32.2,1,0,0.007,3,0.62,34,2,33,2,1,NULL,NULL,NULL,NULL,39.61,58.2,NULL,NULL,-0.147,0,NULL,NULL,0.1,17.8,9.8,0,4.5,0,NULL,NULL,4,5,0.03,0.035,0.085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,1/4 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,125
167805,Ruby Red Grapefruit Juice Blend (Grapefruit Grape Apple) Ocean Spray Bottled With Added Vitamin C,Fruits,44,0.1,0.5,10.53,10.3,0.2,0,0.008,10,0.14,94,NULL,129,6,49.2,NULL,NULL,NULL,NULL,10.33,88.6,NULL,NULL,NULL,0.002,NULL,NULL,1.8,3.8,4.7,0,0,0,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,NULL,116,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,248,8 fl oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,454.545
167806,Baobab Powder,NULL,250,0.47,3.69,79.65,NULL,44.5,NULL,0.244,342,8.42,2189,158,NULL,NULL,173.2,NULL,NULL,NULL,NULL,35.15,10.92,98,NULL,-51.242,0.009,NULL,NULL,9.22,4.66,4.28,0,0,NULL,NULL,NULL,47,10,0.92,NULL,NULL,0,NULL,NULL,NULL,0.03,0.074,19.983,NULL,2.414,NULL,43,NULL,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,169,163,98,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,80
167807,Cherry Juice Tart,NULL,59,0.54,0.31,13.7,12.21,NULL,0,NULL,13,0.42,161,11,NULL,NULL,0,0,0,NULL,NULL,13.7,85.18,NULL,NULL,-3.075,NULL,NULL,NULL,0,7.26,4.95,0,0,0,NULL,NULL,17,4,0.03,0.042,0.06,NULL,NULL,NULL,NULL,0.06,NULL,NULL,NULL,0.037,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,338.983
167808,Raspberries Puree Seedless,NULL,41,0.87,1.02,7.99,6.04,0.9,NULL,0.064,14,1.08,169,15,38,2,6.4,NULL,NULL,1.54,NULL,7.09,89.7,47,43,-2.903,NULL,NULL,NULL,0.18,2.81,3.05,0,0,0,0.2,NULL,20,4,0.18,0.068,0.343,NULL,NULL,NULL,NULL,0.09,0.1,0.49,0.31,0.06,NULL,29,NULL,29,NULL,NULL,NULL,NULL,8,30,0,448,NULL,NULL,NULL,NULL,NULL,NULL,16,90,47,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,487.805
167809,Raspberries Puree With Seeds,NULL,55,0.97,1.1,11.51,6.56,4.3,NULL,0.062,23,0.69,195,25,97,5,14.6,NULL,NULL,0.77,NULL,7.21,85.88,28,30,-3.422,0,NULL,NULL,0.21,3.05,3.3,0,0,0,0.07,NULL,30,4,0.31,0.086,0.676,NULL,NULL,NULL,NULL,0.08,0.09,0.46,0.31,0.037,NULL,30,NULL,30,NULL,NULL,NULL,NULL,19,79,0,469,NULL,NULL,NULL,NULL,NULL,NULL,27,58,28,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,363.636
167810,Pork Fresh Composite Of Trimmed Leg Loin Shoulder And Spareribs (Includes Cuts To Be Cured) Separable Lean And Fat Raw,Meats,211,14.79,18.22,0,0,0,69,4.918,11,0.89,319,21,6,1,0.3,0.67,0.7,0.12,NULL,0,65.99,26,1530,8.717,0.034,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,195,57,2.27,0.075,0.014,28.5,NULL,NULL,NULL,0.622,0.255,4.73,0.899,0.504,NULL,3,0,3,3,34.7,1.7,1,0,0,0,0,NULL,0.7,29,0,0,NULL,6102,1726,26,0,0,0,205,816,863,1498,1657,485,218,744,654,963,1190,742,1073,1723,2841,915,774,771,24,0,0,0,28.4,1 oz,453.6,1 lb,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,94.787
167811,Pork Fresh Backfat Raw,Meats,812,88.69,2.92,0,0,0,57,32.21,2,0.18,65,2,15,5,0.1,0.18,3.1,0,NULL,0,7.69,740,9500,1.387,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,11,0.37,0.018,0.002,8,NULL,NULL,NULL,0.084,0.051,0.985,0.115,0.04,NULL,1,0,1,1,15.4,0.6,5,0,0,0,0,NULL,3.1,122,0,0,NULL,41950,10350,NULL,0,0,0,37,133,137,234,263,77,37,117,102,158,182,117,170,271,457,139,117,121,NULL,0,0,0,28.4,1 oz,453.6,1 lb,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,24.631
167812,Pork Fresh Belly Raw,Meats,518,53.01,9.34,0,0,0,72,19.33,5,0.52,185,4,10,3,0.3,0.84,NULL,0.39,NULL,0,36.74,480,5030,4.499,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,108,32,1.02,0.052,0.006,8,NULL,NULL,NULL,0.396,0.242,4.647,0.256,0.13,NULL,1,0,1,1,NULL,NULL,3,0,0,0,0,NULL,NULL,NULL,0,0,NULL,24700,5650,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,28.4,1 oz,453.6,1 lb,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,38.61
167813,Pork Fresh Separable Fat Raw,Meats,632,65.7,9.25,0,0,0,72,21.979,14,0.26,333,6,86,26,0,0.67,1.7,0.42,NULL,0,24.76,631,12301,0.274,0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,47,0.6,0.067,0,9,NULL,NULL,NULL,0.16,0.09,2.63,0.43,0.143,NULL,0,0,0,0,31,1.2,26,0,0,0,0,NULL,1.7,69,0,0,NULL,28041,13186,564,0,46,21,110,407,438,761,823,254,104,384,366,468,596,376,530,865,1413,418,374,386,32,0,0,0,28.4,1 oz,113,4 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,31.646
167814,Pork Fresh Leg (Ham) Rump Half Separable Lean And Fat Raw,Meats,182,10.63,20.27,0,0,0,63,3.526,12,0.62,356,20,16,5,0,0.4,0.5,0.2,NULL,0,68.64,92,1974,9.731,0.091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,216,73,1.7,0.079,0.009,19.7,NULL,NULL,NULL,0.498,0.309,5.623,0.63,0.506,NULL,0,0,0,0,69.6,2.7,5,0,0,0,0,NULL,0.5,18,0,0,NULL,4445,2156,82,0,7,3,241,892,960,1669,1803,556,229,842,803,1025,1306,825,1161,1896,3097,916,820,847,71,0,0,0,28.4,1 oz,453.6,1 lb,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,109.89
167815,Pork Fresh Leg (Ham) Rump Half Separable Lean And Fat Cooked Roasted,Meats,209,10.32,27.03,0,0,0,85,3.369,16,0.9,416,25,10,3,0,0.67,0.4,0.27,NULL,0,61.92,90,2012,13.037,0.087,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255,77,2.31,0.112,0.016,25,NULL,NULL,NULL,0.489,0.379,7.444,0.859,0.501,NULL,0,0,0,0,92.8,3.6,3,0,0,0,0,NULL,0.4,17,0,0,NULL,4322,2198,79,0,9,2,322,1189,1280,2225,2404,741,305,1123,1071,1367,1742,1100,1548,2529,4130,1222,1093,1129,94,0,0,0,135,"1 cup, diced",85,3 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,95.694
167816,Pork Fresh Leg (Ham) Rump Half Separable Lean Only Raw,Meats,120,2.93,21.81,0,0,0,62,0.947,12,0.67,359,22,7,2,0,0.36,0.3,0.16,NULL,0,74.78,17,531,11.072,0.019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,235,76,1.85,0.08,0.01,21.2,NULL,NULL,NULL,0.545,0.34,6.042,0.658,0.557,NULL,0,0,0,0,75,2.9,2,0,0,0,0,NULL,0.3,11,0,0,NULL,1148,615,15,0,2,0,260,959,1033,1795,1940,598,246,906,864,1103,1406,887,1249,2040,3332,986,882,911,76,0,0,0,85,3 oz,453.6,1 lb,3952,1 roast,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,166.667
